RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	Kmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna_01.fq	499903	499903	499903	107 (1101)	0.07709 (0.02605)	1.0 (1.09)	f	68	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	68	1.0000	68	1.0000	2974	64	2795	16.08	-	0	0	0.0 (0.0,24.7)	0.0 (0.0,20.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.2	N/A	0.2	0.18	0.166	1.08
simadna_01.fq	499903	499903	499903	16 (2107)	0.05861 (0.003602)	1.0 (1.1)	f	131	Artiodactyla	Bovidae	Bos_taurus	best	128	0.9770	127	1.0078	5223	121	4957	30.40	-	0	0	0.0 (0.0,17.6)	0.0 (0.0,12.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.1	N/A	0.38	0.319	0.291	1.097
simadna_01.fq	499903	499903	499903	20 (418)	0.01597 (0.01153)	1.0 (1.0)	f	21	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19	0.9047	19	1.0000	888	19	888	4.77	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.05	0.052	0.046	1.139
simadna_01.fq	499903	499903	499903	2731 (3129)	0.2775 (0.1546)	1.22 (1.24)	f	222	Carnivora	Hyaenidae	Crocuta_crocuta	best	213	0.9594	211	1.0094	7771	194	7159	48.74	-	0	1	0.0 (0.0,10.0)	0.0 (0.0,8.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.6	58.0	0.61	0.453	0.421	1.076
simadna_hd_01.fq	499907	499907	499907	13 (1442)	0.007995 (0.002465)	1.0 (1.08)	f	117	Artiodactyla	Bovidae	Bos_indicus	best	99	0.8461	99	1.0000	4338	96	4187	33.68	++	10	15	45.5 (16.7,76.6)	29.4 (10.3,56.0)	N/A (N/A,N/A)	0.0 (0.0,97.5)	51.6	59.4	0.31	0.265	0.242	1.096
simadna_hd_01.fq	499907	499907	499907	1476 (1719)	0.15 (0.08491)	1.11 (1.15)	f	147	Carnivora	Hyaenidae	Crocuta_crocuta	best	135	0.9183	133	1.0150	5239	128	5073	44.91	++	15	27	32.1 (15.9,52.4)	25.0 (9.8,46.7)	0.0 (0.0,97.5)	0.0 (0.0,70.8)	49.7	50.8	0.38	0.305	0.288	1.058
simadna_hd_01.fq	499907	499907	499907	32 (291)	0.02556 (0.00803)	1.0 (1.0)	f	16	Proboscidea	Elephantidae	Mammuthus_primigenius	best	15	0.9375	15	1.0000	780	14	731	4.91	-	2	2	0.0 (0.0,84.2)	50.0 (6.8,93.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.2	58.0	0.04	0.046	0.04	1.155
simadna_hd_01.fq	499907	499907	499907	52 (641)	0.03746 (0.01517)	1.0 (1.01)	f	50	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	49	0.9800	48	1.0208	2370	47	2332	16.49	+	6	11	30.0 (6.7,65.2)	33.3 (9.9,65.1)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	53.5	57.4	0.15	0.143	0.127	1.124
simadna_md_01.fq	499912	499912	499912	2586 (2931)	0.2628 (0.1448)	1.24 (1.26)	f	206	Carnivora	Hyaenidae	Crocuta_crocuta	best	201	0.9757	199	1.0100	7534	186	7064	46.73	+	13	19	25.0 (10.7,44.9)	15.4 (5.9,30.5)	N/A (N/A,N/A)	0.0 (0.0,84.2)	51.8	50.8	0.6	0.439	0.413	1.062
simadna_md_01.fq	499912	499912	499912	38 (441)	0.03156 (0.01217)	1.0 (1.0)	f	21	Proboscidea	Elephantidae	Mammuthus_columbi	best	20	0.9523	20	1.0000	1064	20	1064	5.02	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,60.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.3	N/A	0.06	0.064	0.055	1.165
simadna_md_01.fq	499912	499912	499912	72 (1193)	0.05187 (0.02823)	1.0 (1.06)	f	63	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	63	1.0000	63	1.0000	2917	62	2819	15.57	-	1	4	0.0 (0.0,26.5)	7.7 (0.2,36.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.4	45.2	0.19	0.177	0.158	1.116
simadna_md_01.fq	499912	499912	499912	8 (2308)	0.0293 (0.003946)	1.0 (1.14)	f	142	Artiodactyla	Bovidae	Bos_taurus	best	136	0.9577	135	1.0074	5807	130	5586	32.66	-	9	12	16.7 (4.7,37.4)	18.5 (6.3,38.1)	0.0 (0.0,84.2)	0.0 (0.0,97.5)	53.6	55.9	0.44	0.355	0.324	1.095
