RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna	499908	499908	499908	106	0.06261	1.0	f	47	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	47	1.0000	47	1.0000	2243	45	2128	1.27	-	0	0	0.0 (0.0,24.7)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.6	N/A	0.14	0.135	0.123	1.093
simadna	499908	499908	499908	306	0.2898	1.25	f	191	Proboscidea	Elephantidae	Mammuthus_primigenius	best	186	0.9738	186	1.0000	7310	182	7178	4.95	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,10.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.3	N/A	0.56	0.435	0.395	1.103
simadna	499908	499908	499908	35	0.1357	5.11	f	1186	Artiodactyla	Bovidae	Bos_taurus	best	1179	0.9940	1157	1.0190	15197	1115	14940	30.34	-	2	3	0.4 (0.0,2.2)	0.4 (0.0,2.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.9	63.0	3.68	0.93	0.961	0.967
simadna	499908	499908	499908	6080	0.795	4.58	f	2019	Carnivora	Hyaenidae	Crocuta_crocuta	best	1963	0.9722	1894	1.0364	16200	1774	15554	48.27	-	6	19	0.9 (0.2,2.6)	0.8 (0.2,2.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.6	51.7	5.71	0.945	0.993	0.951
simadna	499908	499908	499908	713	0.6645	1.91	f	589	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	588	0.9983	581	1.0120	13426	557	12980	15.15	-	2	6	0.0 (0.0,3.1)	2.0 (0.2,7.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.6	55.8	1.84	0.814	0.804	1.012
simadna_01	499903	499903	499903	16	0.06202	1.0	f	131	Artiodactyla	Bovidae	Bos_taurus	best	120	0.9160	119	1.0084	4948	113	4682	29.97	-	0	0	0.0 (0.0,18.5)	0.0 (0.0,12.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.0	N/A	0.36	0.302	0.275	1.099
simadna_01	499903	499903	499903	19	0.01799	1.0	f	25	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19	0.7600	19	1.0000	888	19	888	5.03	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.05	0.052	0.046	1.139
simadna_01	499903	499903	499903	2145	0.2805	1.27	f	212	Carnivora	Hyaenidae	Crocuta_crocuta	best	203	0.9575	201	1.0099	7531	188	6989	49.86	-	0	1	0.0 (0.0,10.6)	0.0 (0.0,8.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.8	58.0	0.59	0.439	0.407	1.077
simadna_01	499903	499903	499903	89	0.08295	1.0	f	61	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	61	1.0000	61	1.0000	2705	57	2526	15.11	-	0	0	0.0 (0.0,28.5)	0.0 (0.0,23.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.1	N/A	0.18	0.164	0.15	1.088
simadna_10	499896	499896	499896	35	0.1357	30.7	f	12127	Artiodactyla	Bovidae	Bos_taurus	best	12117	0.9991	9873	1.2272	16050	9511	15887	31.57	-	8	24	0.1 (0.0,0.4)	0.3 (0.1,0.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	53.0	56.0	32.1	0.982	0.999	0.982
