RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	Kmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna_100.fq	499924	499924	499924	1128 (9314)	0.8127 (0.2204)	131.0 (133.0)	f	65156	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	64903	0.9961	26589	2.4409	16431	25231	16054	24.97	-	37	102	0.3 (0.2,0.5)	0.4 (0.3,0.7)	0.0 (0.0,70.8)	0.0 (0.0,70.8)	58.1	60.6	93.91	0.997	1.0	0.997
simadna_100.fq	499924	499924	499924	1375 (11272)	0.7252 (0.1632)	8.19 (8.63)	f	4640	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	4633	0.9984	4319	1.0727	16436	4117	16254	4.07	-	6	23	0.4 (0.1,1.1)	0.2 (0.0,0.8)	N/A (N/A,N/A)	0.0 (0.0,97.5)	51.3	52.5	13.38	0.992	0.999	0.992
simadna_100.fq	499924	499924	499924	37 (9536)	0.1355 (0.0163)	268.0 (246.0)	f	128964	Artiodactyla	Bovidae	Bos_taurus	best	128753	0.9983	29631	4.3452	16234	28342	16052	28.05	-	24	76	0.2 (0.1,0.3)	0.2 (0.1,0.4)	0.0 (0.0,84.2)	0.0 (0.0,70.8)	61.2	64.7	111.34	0.993	1.0	0.993
simadna_100.fq	499924	499924	499924	7887 (8745)	0.8014 (0.432)	437.0 (443.0)	f	212211	Carnivora	Hyaenidae	Crocuta_crocuta	best	205271	0.9672	31033	6.6146	16883	28916	16337	28.62	-	112	320	1.0 (0.7,1.2)	0.9 (0.7,1.1)	0.0 (0.0,36.9)	0.0 (0.0,24.7)	60.1	58.5	109.41	0.985	1.0	0.985
simadna_100.fq	499924	499924	499924	840 (13446)	0.6709 (0.371)	35.9 (35.7)	f	19439	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19437	0.9998	14522	1.3384	16432	14263	16248	14.11	-	14	50	0.2 (0.1,0.5)	0.3 (0.1,0.6)	0.0 (0.0,70.8)	0.0 (0.0,84.2)	52.9	52.7	45.79	0.979	1.0	0.979
simadna_hd_100.fq	499905	499905	499905	1226 (14985)	0.8833 (0.3546)	67.8 (47.5)	f	52052	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	51187	0.9833	24063	2.1272	16450	22770	16118	25.56	++	2563	5234	30.2 (28.9,31.6)	30.3 (29.0,31.7)	28.2 (23.1,33.8)	30.2 (24.8,36.1)	57.8	58.1	84.64	0.998	1.0	0.998
simadna_hd_100.fq	499905	499905	499905	1377 (12750)	0.7263 (0.1846)	4.77 (4.32)	f	3879	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	3571	0.9205	3365	1.0612	16499	3216	16278	3.61	++	375	838	28.0 (24.6,31.6)	30.7 (27.2,34.3)	22.2 (12.0,35.6)	30.8 (17.0,47.6)	51.9	51.9	10.57	0.996	0.999	0.996
simadna_hd_100.fq	499905	499905	499905	709 (24958)	0.1551 (0.04267)	7.77 (55.9)	f	107796	Artiodactyla	Bovidae	Bos_gaurus	best	53910	0.5001	20231	2.6647	16127	19221	15784	21.57	++	1660	3592	24.1 (22.7,25.5)	24.4 (23.0,25.9)	11.9 (7.4,17.8)	12.9 (8.1,19.2)	54.6	54.6	67.7	0.986	1.0	0.986
simadna_hd_100.fq	499905	499905	499905	8658 (10770)	0.8798 (0.532)	204.0 (187.0)	f	158350	Carnivora	Hyaenidae	Crocuta_crocuta	best	153563	0.9697	30021	5.1151	16916	27957	16366	31.38	++	2876	5722	25.7 (24.6,26.8)	24.7 (23.6,25.8)	24.4 (19.9,29.3)	23.4 (19.1,28.2)	59.6	63.3	104.88	0.987	1.0	0.987
simadna_hd_100.fq	499905	499905	499905	999 (17266)	0.7979 (0.4764)	17.7 (15.8)	f	16380	Proboscidea	Elephantidae	Mammuthus_primigenius	best	16032	0.9787	12510	1.2815	16412	12278	16260	13.78	++	1367	2821	31.2 (29.3,33.2)	30.9 (29.0,32.9)	28.3 (21.1,36.3)	32.3 (24.3,41.2)	53.3	53.2	39.79	0.978	0.999	0.978
simadna_md_100.fq	499930	499930	499930	1185 (12796)	0.8537 (0.3028)	114.0 (90.9)	f	64066	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	63886	0.9971	26489	2.4117	16424	25154	16097	26.19	++	1484	2250	17.4 (16.4,18.5)	13.0 (12.1,14.0)	21.4 (15.2,28.8)	17.6 (12.4,23.8)	58.1	58.8	93.6	0.996	1.0	0.996
simadna_md_100.fq	499930	499930	499930	1375 (11692)	0.7252 (0.1693)	8.15 (7.89)	f	4598	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	4580	0.9960	4261	1.0748	16476	4106	16301	4.27	++	261	418	17.0 (14.6,19.6)	12.1 (10.1,14.4)	18.8 (7.2,36.4)	12.5 (4.7,25.2)	51.6	51.4	13.3	0.994	0.999	0.994
simadna_md_100.fq	499930	499930	499930	484 (18296)	0.1059 (0.03128)	2.43 (122.0)	f	127463	Artiodactyla	Bovidae	Bos_gaurus	best	85804	0.6731	23823	3.6017	16150	22543	15789	23.47	++	1218	2435	15.3 (14.2,16.4)	13.3 (12.3,14.3)	17.8 (11.7,25.5)	13.1 (8.5,19.0)	57.9	59.0	84.47	0.988	1.0	0.988
simadna_md_100.fq	499930	499930	499930	8639 (10435)	0.8779 (0.5155)	372.0 (347.0)	f	207713	Carnivora	Hyaenidae	Crocuta_crocuta	best	201873	0.9718	30967	6.5189	16891	28871	16361	30.06	+	1377	2151	12.8 (11.9,13.6)	10.2 (9.5,11.0)	13.2 (8.4,19.5)	13.2 (8.4,19.5)	60.0	66.1	108.88	0.985	1.0	0.985
simadna_md_100.fq	499930	499930	499930	895 (14661)	0.7149 (0.4046)	30.8 (30.5)	f	19177	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19169	0.9995	14438	1.3276	16444	14190	16257	14.77	++	858	1298	18.3 (16.9,19.9)	13.9 (12.7,15.3)	19.0 (11.0,29.4)	13.0 (7.5,20.6)	52.8	52.9	45.49	0.98	1.0	0.98
