RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna	499908	499908	499908	101	0.0338	1.0	f	50	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	50	1.0000	50	1.0000	2357	48	2242	1.22	-	0	0	0.0 (0.0,23.2)	0.0 (0.0,26.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.2	N/A	0.15	0.142	0.13	1.091
simadna	499908	499908	499908	1224	0.5397	1.56	f	650	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	649	0.9984	641	1.0124	14204	613	13619	15.61	-	2	6	0.0 (0.0,2.9)	1.8 (0.2,6.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.0	55.8	2.02	0.861	0.832	1.034
simadna	499908	499908	499908	407	0.2088	1.13	f	190	Proboscidea	Elephantidae	Mammuthus_primigenius	best	190	1.0000	190	1.0000	7491	186	7359	4.73	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,10.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.1	N/A	0.57	0.446	0.4	1.115
simadna	499908	499908	499908	54	0.1908	2.31	f	1309	Artiodactyla	Bovidae	Bos_javanicus	best	1307	0.9984	1282	1.0195	15688	1236	15386	31.48	-	4	5	0.7 (0.1,2.7)	0.8 (0.1,2.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.3	55.6	4.03	0.96	0.971	0.988
simadna	499908	499908	499908	8985	0.7497	3.3	f	2073	Carnivora	Hyaenidae	Crocuta_crocuta	best	2021	0.9749	1953	1.0348	16420	1843	15717	46.94	-	8	20	0.8 (0.2,2.4)	1.3 (0.4,3.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.4	51.3	5.87	0.958	0.994	0.963
simadna_01	499903	499903	499903	16	0.04222	1.0	f	129	Artiodactyla	Bovidae	Bos_taurus	best	129	1.0000	128	1.0078	5278	122	5012	30.88	-	0	0	0.0 (0.0,16.8)	0.0 (0.0,11.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.8	N/A	0.39	0.323	0.292	1.105
simadna_01	499903	499903	499903	2458	0.2051	1.16	f	211	Carnivora	Hyaenidae	Crocuta_crocuta	best	204	0.9668	203	1.0049	7531	190	7022	48.10	-	0	1	0.0 (0.0,11.2)	0.0 (0.0,8.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.6	58.0	0.59	0.439	0.41	1.07
simadna_01	499903	499903	499903	26	0.01334	1.0	f	20	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19	0.9500	19	1.0000	888	19	888	4.81	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.05	0.052	0.046	1.139
simadna_01	499903	499903	499903	94	0.04145	1.0	f	68	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	68	1.0000	68	1.0000	3007	64	2828	16.20	-	0	0	0.0 (0.0,24.7)	0.0 (0.0,21.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.5	N/A	0.2	0.182	0.167	1.088
simadna_10	499896	499896	499896	1184	0.6075	2.77	f	1931	Proboscidea	Elephantidae	Mammuthus_primigenius	best	1930	0.9994	1862	1.0365	16335	1819	16098	5.70	-	0	3	0.0 (0.0,1.1)	0.0 (0.0,1.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.6	40.3	5.62	0.974	0.993	0.98
