RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna	499908	499908	499908	10	0.001511	1.4	f	97	Chiroptera	Phyllostomidae	Anoura_cultrata	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
simadna	499908	499908	499908	10	0.001595	1.4	f	134	Rodentia	Sciuridae	Sundasciurus_altitudinis	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
simadna	499908	499908	499908	11	0.00204	1.27	f	282	Rodentia	Muridae	Mus_baoulei	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
simadna	499908	499908	499908	12	0.001784	1.42	f	135	Eulipotyphla	Soricidae	Crocidura_russula	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
simadna	499908	499908	499908	128	0.02583	8.97	f	292	Primates	Cebidae	Leontopithecus_rosalia	best	38	0.1301	36	1.0555	217	36	217	1.04	-	1	3	0.0 (0.0,41.0)	12.5 (0.3,52.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.0	45.7	0.08	0.012	0.075	0.169
simadna	499908	499908	499908	14	0.00287	1.0	f	160	Chiroptera	Vespertilionidae	Myotis_petax	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
simadna	499908	499908	499908	236	0.3138	1.32	f	196	Proboscidea	Elephantidae	Mammuthus_primigenius	best	183	0.9336	183	1.0000	7246	179	7114	5.18	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,11.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.3	N/A	0.55	0.432	0.389	1.107
simadna	499908	499908	499908	29	0.05302	2.14	f	111	Didelphimorphia	Didelphidae	Didelphis_marsupialis	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
simadna	499908	499908	499908	29	0.1368	5.59	f	1187	Artiodactyla	Bovidae	Bos_taurus	best	1077	0.9073	1058	1.0179	14730	1019	14452	29.51	-	2	3	0.5 (0.0,2.5)	0.5 (0.0,2.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.2	63.0	3.38	0.901	0.949	0.949
simadna	499908	499908	499908	4	0.0008247	1.5	f	139	Rodentia	Cricetidae	Microtus_chrotorrhinus	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
simadna	499908	499908	499908	4594	0.7805	5.11	f	1909	Carnivora	Hyaenidae	Crocuta_crocuta	best	1846	0.9669	1783	1.0353	15906	1663	15252	48.17	-	6	18	1.0 (0.2,2.8)	0.8 (0.2,2.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.8	52.1	5.39	0.928	0.991	0.936
simadna	499908	499908	499908	522	0.7092	2.08	f	551	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	541	0.9818	535	1.0112	12825	512	12400	14.83	-	2	6	0.0 (0.0,3.5)	2.1 (0.3,7.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.9	55.8	1.71	0.778	0.779	0.998
simadna	499908	499908	499908	9	0.001389	1.67	f	87	Rodentia	Echimyidae	Proechimys_goeldii	best	0	0	0	0	0	0	0	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A	N/A	0	0.0	0.0	
