RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	Kmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna_10.fq	499896	499896	499896	1151 (9301)	0.8293 (0.2201)	12.6 (13.6)	f	6565	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	6543	0.9966	5853	1.1178	16205	5566	15842	17.49	-	4	20	0.3 (0.1,0.8)	0.1 (0.0,0.5)	0.0 (0.0,97.5)	N/A (N/A,N/A)	51.9	52.2	18.48	0.983	0.999	0.983
simadna_10.fq	499896	499896	499896	37 (8854)	0.1355 (0.01514)	29.8 (26.8)	f	12974	Artiodactyla	Bovidae	Bos_taurus	best	12946	0.9978	10532	1.2292	16139	10132	15960	31.84	-	8	25	0.1 (0.0,0.4)	0.3 (0.1,0.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	52.7	55.2	34.09	0.987	0.999	0.987
simadna_10.fq	499896	499896	499896	757 (6283)	0.3993 (0.09097)	1.38 (1.46)	f	471	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	471	1.0000	467	1.0085	12543	449	12066	1.41	-	0	2	0.0 (0.0,3.4)	0.0 (0.0,3.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.7	37.5	1.4	0.757	0.709	1.066
simadna_10.fq	499896	499896	499896	7877 (8710)	0.8004 (0.4303)	44.3 (45.0)	f	21231	Carnivora	Hyaenidae	Crocuta_crocuta	best	20507	0.9658	14791	1.3864	16740	13842	16165	43.51	-	59	139	0.9 (0.6,1.4)	1.1 (0.7,1.5)	0.0 (0.0,33.6)	0.0 (0.0,41.0)	53.7	53.9	46.54	0.976	1.0	0.976
simadna_10.fq	499896	499896	499896	832 (13175)	0.6645 (0.3635)	3.56 (3.58)	f	1935	Proboscidea	Elephantidae	Mammuthus_primigenius	best	1935	1.0000	1866	1.0369	16301	1823	16064	5.73	-	0	2	0.0 (0.0,1.1)	0.0 (0.0,1.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.6	43.0	5.63	0.972	0.993	0.978
simadna_hd_10.fq	499901	499901	499901	1178 (11508)	0.8487 (0.2723)	6.89 (6.17)	f	5129	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	5009	0.9766	4586	1.0922	16205	4345	15853	19.98	++	510	1006	33.5 (30.3,36.9)	31.2 (28.0,34.6)	35.0 (23.1,48.4)	31.3 (20.6,43.8)	52.7	53.4	14.71	0.983	0.999	0.983
simadna_hd_10.fq	499901	499901	499901	367 (15865)	0.08029 (0.02712)	1.58 (8.76)	f	10765	Artiodactyla	Bovidae	Bos_gaurus	best	5261	0.4887	4603	1.1429	15727	4399	15336	20.22	++	372	841	24.8 (21.7,28.0)	26.6 (23.4,30.0)	11.1 (3.1,26.1)	13.3 (3.8,30.7)	50.3	50.5	14.19	0.962	0.999	0.962
simadna_hd_10.fq	499901	499901	499901	389 (3746)	0.2052 (0.05424)	1.19 (1.31)	f	380	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	341	0.8973	339	1.0058	10372	327	10010	1.50	++	37	75	24.3 (14.8,36.0)	31.7 (20.6,44.7)	0.0 (0.0,52.2)	0.0 (0.0,45.9)	51.1	49.8	1.04	0.626	0.604	1.036
simadna_hd_10.fq	499901	499901	499901	836 (12373)	0.6677 (0.3414)	2.4 (2.24)	f	1635	Proboscidea	Elephantidae	Mammuthus_primigenius	best	1598	0.9773	1553	1.0289	16229	1523	16030	7.00	++	167	339	34.1 (28.4,40.2)	29.8 (24.5,35.6)	35.7 (12.8,64.9)	29.4 (10.3,56.0)	51.5	51.5	4.78	0.967	0.985	0.982
simadna_hd_10.fq	499901	499901	499901	8406 (9933)	0.8542 (0.4907)	21.1 (20.3)	f	15897	Carnivora	Hyaenidae	Crocuta_crocuta	best	14939	0.9397	11496	1.2994	16751	10810	16179	49.71	++	1299	2624	30.6 (28.6,32.6)	32.3 (30.3,34.4)	30.5 (23.2,38.5)	32.9 (25.2,41.3)	53.9	54.0	36.25	0.977	0.999	0.977
simadna_md_10.fq	499901	499901	499901	100 (10921)	0.0615 (0.01867)	7.97 (20.6)	f	12720	Artiodactyla	Bovidae	Bos_indicus	best	12479	0.9810	10112	1.2340	16190	9692	15984	31.16	++	582	1028	17.6 (15.9,19.4)	13.9 (12.3,15.5)	16.4 (7.8,28.8)	11.7 (5.5,21.0)	52.8	52.4	32.79	0.99	0.999	0.99
simadna_md_10.fq	499901	499901	499901	1146 (9807)	0.8256 (0.2321)	12.1 (11.9)	f	6400	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	6373	0.9957	5740	1.1102	16273	5469	15905	17.58	++	323	506	16.1 (13.9,18.5)	14.2 (12.2,16.4)	9.5 (2.7,22.6)	14.3 (4.0,32.7)	51.9	52.5	18.11	0.987	0.999	0.987
simadna_md_10.fq	499901	499901	499901	762 (6371)	0.4019 (0.09225)	1.47 (1.4)	f	452	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	448	0.9911	444	1.0090	12541	428	12021	1.37	+	30	48	16.9 (9.8,26.3)	16.5 (9.5,25.7)	0.0 (0.0,60.2)	0.0 (0.0,70.8)	51.1	51.4	1.37	0.757	0.702	1.077
