RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna	499908	499908	499908	101	0.07173	1.0	f	49	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	46	0.9387	46	1.0000	2234	44	2119	1.21	-	0	0	0.0 (0.0,24.7)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.0	N/A	0.14	0.134	0.122	1.103
simadna	499908	499908	499908	116	0.02177	7.83	f	225	Primates	Cebidae	Leontopithecus_rosalia	best	36	0.1600	34	1.0588	203	34	203	0.93	-	1	3	0.0 (0.0,41.0)	14.3 (0.4,57.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.1	45.7	0.08	0.012	0.072	0.166
simadna	499908	499908	499908	262	0.3072	1.3	f	195	Proboscidea	Elephantidae	Mammuthus_primigenius	best	186	0.9538	186	1.0000	7310	182	7178	5.00	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,10.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.3	N/A	0.56	0.435	0.395	1.103
simadna	499908	499908	499908	31	0.136	5.42	f	1184	Artiodactyla	Bovidae	Bos_taurus	best	1149	0.9704	1127	1.0195	15061	1085	14793	29.86	-	2	3	0.4 (0.0,2.3)	0.4 (0.0,2.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.0	63.0	3.59	0.921	0.958	0.962
simadna	499908	499908	499908	5208	0.8023	4.82	f	1990	Carnivora	Hyaenidae	Crocuta_crocuta	best	1931	0.9703	1865	1.0353	16089	1744	15435	48.00	-	6	19	0.9 (0.2,2.6)	0.8 (0.2,2.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.6	51.7	5.63	0.938	0.993	0.945
simadna	499908	499908	499908	591	0.6945	2.02	f	576	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	571	0.9913	565	1.0106	13210	542	12785	14.91	-	2	6	0.0 (0.0,3.2)	2.0 (0.2,7.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.6	55.8	1.8	0.801	0.796	1.006
simadna	499908	499908	499908	6	0.001765	2.5	f	111	Rodentia	Muridae	Rattus_leucopus	best	2	0.0180	2	1.0000	50	2	50	0.05	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.5	N/A	0.0	0.003	0.004	0.683
simadna_01	499903	499903	499903	114	0.02139	8.74	f	264	Primates	Cebidae	Leontopithecus_rosalia	best	25	0.0946	23	1.0869	249	23	249	5.86	-	2	3	0.0 (0.0,52.2)	28.6 (3.7,71.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	42.9	42.7	0.05	0.014	0.05	0.293
simadna_01	499903	499903	499903	15	0.01758	1.0	f	30	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19	0.6333	19	1.0000	888	19	888	4.84	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.05	0.052	0.046	1.139
simadna_01	499903	499903	499903	16	0.07018	1.0	f	167	Artiodactyla	Bovidae	Bos_taurus	best	117	0.7005	116	1.0086	4822	110	4556	28.06	-	0	0	0.0 (0.0,18.5)	0.0 (0.0,12.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.1	N/A	0.35	0.295	0.27	1.092
