RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna	499908	499908	499908	105	0.03885	1.0	f	49	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	49	1.0000	49	1.0000	2306	47	2191	1.20	-	0	0	0.0 (0.0,23.2)	0.0 (0.0,28.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.2	N/A	0.15	0.139	0.127	1.087
simadna	499908	499908	499908	1104	0.5562	1.66	f	646	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	645	0.9984	637	1.0125	14147	608	13562	15.54	-	2	6	0.0 (0.0,2.9)	1.8 (0.2,6.4)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.1	55.8	2.01	0.858	0.831	1.032
simadna	499908	499908	499908	394	0.2241	1.15	f	191	Proboscidea	Elephantidae	Mammuthus_primigenius	best	191	1.0000	191	1.0000	7491	187	7359	4.78	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,10.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.1	N/A	0.58	0.446	0.401	1.111
simadna	499908	499908	499908	49	0.1388	4.02	f	1305	Artiodactyla	Bovidae	Bos_taurus	best	1302	0.9977	1278	1.0187	15592	1232	15290	31.49	-	2	3	0.4 (0.0,2.1)	0.4 (0.0,2.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.3	63.0	4.02	0.954	0.971	0.982
simadna	499908	499908	499908	8617	0.7696	3.56	f	2071	Carnivora	Hyaenidae	Crocuta_crocuta	best	2019	0.9748	1949	1.0359	16298	1838	15612	46.98	-	7	19	0.8 (0.2,2.4)	1.0 (0.3,2.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.5	51.8	5.87	0.95	0.994	0.956
simadna_01	499903	499903	499903	100	0.05038	1.0	f	68	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	68	1.0000	68	1.0000	3007	64	2828	16.20	-	0	0	0.0 (0.0,24.7)	0.0 (0.0,21.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.5	N/A	0.2	0.182	0.167	1.088
simadna_01	499903	499903	499903	16	0.04533	1.0	f	128	Artiodactyla	Bovidae	Bos_taurus	best	128	1.0000	127	1.0078	5243	121	4977	30.63	-	0	0	0.0 (0.0,16.8)	0.0 (0.0,11.9)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.9	N/A	0.38	0.32	0.29	1.103
simadna_01	499903	499903	499903	24	0.01365	1.0	f	21	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19	0.9047	19	1.0000	888	19	888	4.81	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.05	0.052	0.046	1.139
simadna_01	499903	499903	499903	2486	0.222	1.19	f	213	Carnivora	Hyaenidae	Crocuta_crocuta	best	206	0.9671	205	1.0048	7518	191	7009	48.35	-	0	1	0.0 (0.0,10.9)	0.0 (0.0,8.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.4	58.0	0.6	0.438	0.411	1.064
simadna_10	499896	499896	499896	1062	0.6041	3.0	f	1935	Proboscidea	Elephantidae	Mammuthus_primigenius	best	1934	0.9994	1865	1.0369	16335	1822	16098	5.74	-	0	3	0.0 (0.0,1.1)	0.0 (0.0,1.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.6	40.3	5.63	0.974	0.993	0.98
simadna_10	499896	499896	499896	1593	0.8025	10.6	f	6645	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	6623	0.9966	5933	1.1162	16273	5636	15891	17.75	-	5	20	0.3 (0.1,0.8)	0.2 (0.0,0.7)	0.0 (0.0,97.5)	N/A (N/A,N/A)	51.9	51.6	18.72	0.987	0.999	0.987
simadna_10	499896	499896	499896	57	0.2271	22.7	f	13127	Artiodactyla	Bovidae	Bos_javanicus	best	13125	0.9998	10670	1.2300	16148	10249	15962	32.29	-	7	19	0.1 (0.0,0.4)	0.2 (0.1,0.5)	N/A (N/A,N/A)	0.0 (0.0,97.5)	52.7	51.2	34.48	0.988	0.999	0.988
simadna_10	499896	499896	499896	8967	0.8009	33.9	f	20634	Carnivora	Hyaenidae	Crocuta_crocuta	best	19974	0.9680	14462	1.3811	16708	13582	16133	42.79	-	55	130	0.9 (0.6,1.3)	1.0 (0.7,1.5)	0.0 (0.0,33.6)	0.0 (0.0,36.9)	53.9	54.4	45.69	0.974	1.0	0.974
simadna_10	499896	499896	499896	897	0.3319	1.32	f	467	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	467	1.0000	464	1.0064	12452	447	11946	1.40	-	0	2	0.0 (0.0,3.4)	0.0 (0.0,3.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.8	37.5	1.39	0.751	0.708	1.061
