RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	Kmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna.fq	499908	499908	499908	107 (1071)	0.05643 (0.01551)	1.0 (1.08)	f	48	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	48	1.0000	48	1.0000	2275	46	2160	1.17	-	0	0	0.0 (0.0,23.2)	0.0 (0.0,28.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.1	N/A	0.15	0.137	0.125	1.095
simadna.fq	499908	499908	499908	331 (4122)	0.2644 (0.1137)	1.23 (1.16)	f	192	Proboscidea	Elephantidae	Mammuthus_primigenius	best	192	1.0000	192	1.0000	7506	188	7374	4.79	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,10.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.0	N/A	0.58	0.447	0.403	1.11
simadna.fq	499908	499908	499908	37 (8097)	0.1355 (0.01384)	4.95 (2.92)	f	1281	Artiodactyla	Bovidae	Bos_taurus	best	1274	0.9945	1250	1.0192	15498	1207	15225	30.75	-	2	3	0.4 (0.0,2.1)	0.4 (0.0,2.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.5	63.0	3.94	0.948	0.969	0.978
simadna.fq	499908	499908	499908	7768 (8570)	0.7894 (0.4233)	4.47 (4.54)	f	2121	Carnivora	Hyaenidae	Crocuta_crocuta	best	2066	0.9740	1990	1.0381	16306	1869	15660	47.62	-	7	21	0.8 (0.2,2.4)	1.0 (0.3,2.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.5	51.5	5.99	0.951	0.994	0.956
simadna.fq	499908	499908	499908	891 (7114)	0.6419 (0.1683)	1.82 (1.76)	f	648	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	647	0.9984	639	1.0125	14075	614	13611	15.64	-	2	6	0.0 (0.0,2.8)	1.8 (0.2,6.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.0	55.8	2.01	0.854	0.831	1.027
simadna_hd.fq	499886	499886	499886	234 (2417)	0.1869 (0.06669)	1.05 (1.15)	f	168	Proboscidea	Elephantidae	Mammuthus_primigenius	best	163	0.9702	163	1.0000	6573	161	6486	5.35	++	22	45	37.8 (22.5,55.2)	33.3 (17.3,52.8)	50.0 (6.8,93.2)	50.0 (6.8,93.2)	51.0	51.4	0.49	0.391	0.355	1.103
simadna_hd.fq	499886	499886	499886	58 (7489)	0.2125 (0.0128)	1.33 (1.83)	f	1070	Artiodactyla	Bovidae	Bos_taurus	best	1017	0.9504	995	1.0221	15143	963	14778	32.04	++	129	233	40.3 (33.3,47.6)	34.3 (27.2,42.1)	35.7 (12.8,64.9)	31.2 (11.0,58.7)	51.8	51.8	3.16	0.926	0.938	0.987
simadna_hd.fq	499886	499886	499886	580 (5386)	0.4179 (0.1275)	1.42 (1.41)	f	544	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	535	0.9834	528	1.0132	12516	500	11867	16.63	++	65	122	35.6 (26.4,45.8)	30.6 (21.7,40.7)	14.3 (0.4,57.9)	14.3 (0.4,57.9)	52.4	52.0	1.68	0.759	0.773	0.981
simadna_hd.fq	499886	499886	499886	6967 (7814)	0.708 (0.386)	2.55 (2.61)	f	1587	Carnivora	Hyaenidae	Crocuta_crocuta	best	1470	0.9262	1429	1.0286	15850	1342	15133	44.65	++	187	349	37.8 (32.3,43.6)	30.9 (25.4,36.7)	34.8 (16.4,57.3)	32.0 (14.9,53.5)	51.7	51.8	4.33	0.924	0.978	0.945
simadna_hd.fq	499886	499886	499886	75 (525)	0.03956 (0.007602)	1.0 (1.01)	f	36	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	35	0.9722	35	1.0000	1857	32	1728	1.06	++	7	14	75.0 (19.4,99.4)	71.4 (29.0,96.3)	100.0 (2.5,100.0)	50.0 (1.3,98.7)	54.1	53.4	0.11	0.112	0.095	1.173
